Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,752,Sweden,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,6268,,4904,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,780,Trinidad and Tobago,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,5376,,10596,,,0
HS,2015,201501,January 2015,4,0,1,Imports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,525,,5811,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,784,United Arab Emirates,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,13419,,26520,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,842,United States of America,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,7179,,94762,,,0
HS,2015,201501,January 2015,4,0,2,Exports,826,United Kingdom,,899,"Areas, nes",,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,19608,,17906,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,11095085,,12409947,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,52276861,,25353746,,,0
HS,2015,201502,February 2015,4,0,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,121,,512,,,0
HS,2015,201502,February 2015,4,0,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,0401,Milk and cream; not concentrated nor containing added sugar or other sweetening matter,0,,,,,,689201,,1108180,,,0
